db,country,location,site,latitude,longitude
darling_etal_2019,Australia,NA,Moore Reef Sunlovers,-16.8883,146.1922
darling_etal_2019,Australia,NA,Moore Reef Sunlovers 2,-16.8883,146.1922
darling_etal_2019,Australia,NA,Mudjimba,-26.61614,153.11296
darling_etal_2019,Australia,NA,Muiron Island North,-21.65631,114.3744367
darling_etal_2019,Australia,NA,Muiron Island South,-21.6775,114.3461233
darling_etal_2019,Australia,NA,Murat,-21.82376,114.1847
darling_etal_2019,Australia,NA,Muttonbird Island,-30.3033,153.15112
darling_etal_2019,Australia,NA,Net Reef,-19.548,149.1078
darling_etal_2019,Australia,NA,NK1,-23.0799,150.8837
darling_etal_2019,Australia,NA,NK3,-23.0845,150.8852
darling_etal_2019,Australia,NA,NK5,-23.087,150.8922
darling_etal_2019,Australia,NA,NK8,-23.0853,150.9026
darling_etal_2019,Australia,NA,Norman Reef,-16.4218,145.8068
darling_etal_2019,Australia,NA,Norman Reef Control,-16.4254,145.9914
darling_etal_2019,Australia,NA,Norman Reef Control 2,-16.4254,145.9914
darling_etal_2019,Australia,NA,North Bay_2m,-31.523944,159.044617
darling_etal_2019,Australia,NA,North Bay_8m,-31.523944,159.044617
darling_etal_2019,Australia,NA,North Passage_3m,-31.529634,159.049841
darling_etal_2019,Australia,NA,North Rock,-29.97339,153.25717
darling_etal_2019,Australia,NA,NORTH SCOT SL4 1 WA,-14.02068333,121.85465
darling_etal_2019,Australia,NA,NORTH SCOT SL4 2 WA,-14.02068333,121.85465
darling_etal_2019,Australia,NA,NORTH SCOT SL4 3 WA,-14.02068333,121.85465
darling_etal_2019,Australia,NA,NORTH SCOT SS2 1 WA,-13.92793333,121.9178167
darling_etal_2019,Australia,NA,NORTH SCOT SS2 2 WA,-13.92793333,121.9178167
darling_etal_2019,Australia,NA,NORTH SCOT SS2 3 WA,-13.92793333,121.9178167
darling_etal_2019,Australia,NA,North Solitary Island,-29.927723,153.389619
darling_etal_2019,Australia,NA,North West Point_20m,-10.44821667,105.54715
darling_etal_2019,Australia,NA,North West Point_5m,-10.44821667,105.54715
darling_etal_2019,Australia,NA,North West Solitary Island,-30.018969,153.269667
darling_etal_2019,Australia,NA,Nth Passage South_2m,-31.529634,159.049841
darling_etal_2019,Australia,NA,Nth Passage South_8m,-31.529634,159.049841
darling_etal_2019,Australia,NA,NthLagoonsite1_5m,-12.1067,96.84341667
